county,SPRINT,AT_T,SPRINT*AT_T,sum_SPRINT,sum_AT_T,net
009,0.15502150144656696,0.020072161873209537,0.0031116166708634783,6.426927219613267,2.4299587151340294,15.617167808831375
459,0.08874819655855287,0.03489253247792384,0.003096649330776475,6.5156754161718204,2.464851247611953,16.060170678585642
037,0.12379638362685394,0.0249720246642659,0.00309144634527672,6.639471799798675,2.489823272276219,16.531111402760413
053,0.07238897208856138,0.0422567798168107,0.0030589248547115934,6.7118607718872365,2.5320800520930296,16.994968772921396
227,0.28663750620172784,0.010253634017331759,0.0029390760842331796,6.998498278088964,2.542333686110361,17.79251792457093
077,0.10152518481376996,0.02871197909072859,0.0029149889835553187,7.100023462902734,2.5710456652010896,18.254484547122104
481,0.08858215002968109,0.03260066723783006,0.0028878371963291715,7.188605612932415,2.6036463324389194,18.716586639461312
057,0.021405930813524432,0.13058161528674336,0.002795221022346293,7.2100115437459396,2.7342279477256626,19.713815066334796
175,0.026907444558597032,0.10222428546032933,0.002750594293566008,7.236918988304536,2.836452233185992,20.52717502576251
169,0.07570159027150455,0.03623150087031822,0.0027427822338064907,7.31262057857604,2.87268373405631,21.006846189400832
333,0.07615472217694153,0.03548213290886107,0.002702131973919629,7.3887753007529815,2.908165866965171,21.48778412832514
419,0.11833573012639853,0.02280307527554179,0.002698418561858464,7.50711103087938,2.930968942240713,22.003109277460126
067,0.033367055048080685,0.07983483163339736,0.002663853221865823,7.540478085927461,3.0108037738741102,22.702899877925425
223,0.17275669349441308,0.0153832841033118,0.002657565296773314,7.713234779421874,3.026187057977422,23.341691264627812
347,0.12403507471330225,0.02137322346925935,0.0026510293698736886,7.837269854135176,3.0475602814466813,23.884552322441788
395,0.02729669818744271,0.09656187329110844,0.0026358203116414723,7.864566552322619,3.14412215473779,24.727157934567344
337,0.09550413680790444,0.02624463581091474,0.0025064712889592295,7.960070689130523,3.1703667905487047,25.236343763239553
277,0.09662506999137593,0.02568710274599717,0.0024820181007076413,8.056695759121899,3.196053893294702,25.74963384803246
